geoid,name,B19083001,"B19083001, Error"
86000US07002,07002,0.4456,0.0126
86000US07008,07008,0.3914,0.0189
86000US07020,07020,0.4858,0.0518
86000US07024,07024,0.4841,0.0153
86000US07036,07036,0.3923,0.0119
86000US07064,07064,0.3292,0.0295
86000US07077,07077,0.4004,0.0456
86000US07202,07202,0.4314,0.02
86000US07206,07206,0.41,0.0191
86000US07305,07305,0.4952,0.0142
86000US07620,07620,0.587,0.0486
86000US07632,07632,0.4717,0.0505
86000US07670,07670,0.5164,0.0325
86000US08861,08861,0.4611,0.0146
86000US10001,10001,0.6052,0.0517
86000US10002,10002,0.5705,0.0145
86000US10003,10003,0.5503,0.0192
86000US10004,10004,0.4564,0.0381
86000US10005,10005,0.4895,0.0531
86000US10006,10006,0.4601,0.0549
86000US10007,10007,0.5017,0.0279
86000US10009,10009,0.5319,0.0208
86000US10010,10010,0.5246,0.0237
86000US10011,10011,0.5798,0.0173
86000US10012,10012,0.5081,0.0187
86000US10013,10013,0.6651,0.0209
86000US10014,10014,0.5196,0.0206
86000US10016,10016,0.5137,0.0233
86000US10017,10017,0.5181,0.0282
86000US10018,10018,0.4942,0.0345
86000US10019,10019,0.5474,0.0207
86000US10020,10020,0,0
86000US10021,10021,0.5812,0.023
86000US10022,10022,0.5858,0.0296
86000US10023,10023,0.5611,0.0207
86000US10024,10024,0.5826,0.0188
86000US10025,10025,0.5701,0.0175
86000US10026,10026,0.5719,0.021
86000US10027,10027,0.5786,0.0182
86000US10028,10028,0.5659,0.0193
86000US10029,10029,0.6064,0.02
86000US10030,10030,0.5342,0.0222
86000US10031,10031,0.5055,0.0233
86000US10032,10032,0.4817,0.02
86000US10033,10033,0.494,0.0164
86000US10034,10034,0.473,0.0147
86000US10035,10035,0.5567,0.0236
86000US10036,10036,0.5361,0.0207
86000US10037,10037,0.4916,0.0308
86000US10038,10038,0.5756,0.042
86000US10039,10039,0.5315,0.047
86000US10040,10040,0.4567,0.021
86000US10044,10044,0.4451,0.0386
86000US10065,10065,0.5657,0.0197
86000US10069,10069,0.5002,0.063
86000US10075,10075,0.5661,0.0292
86000US10103,10103,0,0
86000US10110,10110,0,0
86000US10111,10111,0,0
86000US10112,10112,0,0
86000US10115,10115,0,0
86000US10119,10119,0,0
86000US10128,10128,0.561,0.0168
86000US10152,10152,0,0
86000US10153,10153,0,0
86000US10154,10154,0,0
86000US10162,10162,0.2962,0.0654
86000US10165,10165,0,0
86000US10167,10167,0,0
86000US10168,10168,0,0
86000US10169,10169,0,0
86000US10170,10170,0,0
86000US10171,10171,0,0
86000US10172,10172,0,0
86000US10173,10173,0,0
86000US10174,10174,0,0
86000US10177,10177,0,0
86000US10199,10199,0,0
86000US10271,10271,0,0
86000US10278,10278,0,0
86000US10279,10279,0,0
86000US10280,10280,0.4442,0.0456
86000US10282,10282,0.4483,0.0472
86000US10301,10301,0.4855,0.0194
86000US10302,10302,0.4722,0.0249
86000US10303,10303,0.4863,0.0235
86000US10304,10304,0.5256,0.0288
86000US10305,10305,0.4309,0.0187
86000US10306,10306,0.4384,0.0149
86000US10307,10307,0.4217,0.0228
86000US10308,10308,0.3996,0.0255
86000US10309,10309,0.4286,0.0328
86000US10310,10310,0.468,0.0236
86000US10311,10311,0,0
86000US10312,10312,0.4045,0.0152
86000US10314,10314,0.4183,0.0118
86000US10451,10451,0.5218,0.0352
86000US10452,10452,0.4777,0.0185
86000US10453,10453,0.4797,0.0113
86000US10454,10454,0.5043,0.0218
86000US10455,10455,0.4809,0.0178
86000US10456,10456,0.488,0.0207
86000US10457,10457,0.4977,0.0305
86000US10458,10458,0.5028,0.0243
86000US10459,10459,0.5075,0.0257
86000US10460,10460,0.4944,0.016
86000US10461,10461,0.4518,0.0195
86000US10462,10462,0.4428,0.0151
86000US10463,10463,0.4987,0.0193
86000US10464,10464,0.4039,0.0486
86000US10465,10465,0.4291,0.0197
86000US10466,10466,0.4652,0.0123
86000US10467,10467,0.4772,0.015
86000US10468,10468,0.455,0.0154
86000US10469,10469,0.4345,0.0124
86000US10470,10470,0.4299,0.0236
86000US10471,10471,0.4782,0.0254
86000US10472,10472,0.4753,0.0116
86000US10473,10473,0.4836,0.0159
86000US10474,10474,0.488,0.0487
86000US10475,10475,0.4389,0.0265
86000US10550,10550,0.4666,0.0218
86000US10704,10704,0.3991,0.0172
86000US10705,10705,0.5107,0.0244
86000US10803,10803,0.5138,0.0283
86000US11001,11001,0.3999,0.0213
86000US11003,11003,0.3752,0.0164
86000US11004,11004,0.3907,0.0329
86000US11005,11005,0.5034,0.0525
86000US11020,11020,0.5532,0.0487
86000US11021,11021,0.5122,0.0187
86000US11040,11040,0.3925,0.0137
86000US11042,11042,0,0
86000US11096,11096,0.4232,0.0362
86000US11101,11101,0.5452,0.0193
86000US11102,11102,0.4599,0.0172
86000US11103,11103,0.4313,0.015
86000US11104,11104,0.4418,0.0206
86000US11105,11105,0.4302,0.0177
86000US11106,11106,0.4696,0.0214
86000US11109,11109,0.4151,0.038
86000US11201,11201,0.5264,0.0138
86000US11203,11203,0.4412,0.0107
86000US11204,11204,0.4792,0.0149
86000US11205,11205,0.5335,0.0179
86000US11206,11206,0.5315,0.0207
86000US11207,11207,0.4964,0.0134
86000US11208,11208,0.4979,0.013
86000US11209,11209,0.481,0.0112
86000US11210,11210,0.4628,0.0148
86000US11211,11211,0.5366,0.0124
86000US11212,11212,0.4975,0.0138
86000US11213,11213,0.4887,0.0179
86000US11214,11214,0.4726,0.0131
86000US11215,11215,0.4701,0.0161
86000US11216,11216,0.493,0.0147
86000US11217,11217,0.4999,0.0155
86000US11218,11218,0.4882,0.0204
86000US11219,11219,0.4792,0.0136
86000US11220,11220,0.4719,0.0118
86000US11221,11221,0.4875,0.0145
86000US11222,11222,0.4382,0.0182
86000US11223,11223,0.5084,0.019
86000US11224,11224,0.5533,0.0376
86000US11225,11225,0.4828,0.0233
86000US11226,11226,0.4623,0.0144
86000US11228,11228,0.4627,0.0129
86000US11229,11229,0.4745,0.0114
86000US11230,11230,0.5324,0.0115
86000US11231,11231,0.5476,0.025
86000US11232,11232,0.4463,0.0192
86000US11233,11233,0.5188,0.0169
86000US11234,11234,0.4354,0.0125
86000US11235,11235,0.5271,0.0144
86000US11236,11236,0.4376,0.0098
86000US11237,11237,0.4824,0.023
86000US11238,11238,0.4756,0.0161
86000US11239,11239,0.4479,0.0352
86000US11351,11351,0,0
86000US11354,11354,0.4827,0.0203
86000US11355,11355,0.4641,0.0123
86000US11356,11356,0.4282,0.0304
86000US11357,11357,0.4226,0.0211
86000US11358,11358,0.4326,0.0124
86000US11359,11359,0,0
86000US11360,11360,0.4347,0.0196
86000US11361,11361,0.4109,0.0153
86000US11362,11362,0.413,0.027
86000US11363,11363,0.4658,0.0527
86000US11364,11364,0.4211,0.0166
86000US11365,11365,0.4758,0.029
86000US11366,11366,0.4381,0.0249
86000US11367,11367,0.4443,0.0178
86000US11368,11368,0.4031,0.0121
86000US11369,11369,0.43,0.0173
86000US11370,11370,0.4736,0.0478
86000US11371,11371,0,0
86000US11372,11372,0.4423,0.019
86000US11373,11373,0.4593,0.0116
86000US11374,11374,0.4667,0.0179
86000US11375,11375,0.4559,0.0135
86000US11377,11377,0.4277,0.0105
86000US11378,11378,0.476,0.0237
86000US11379,11379,0.4187,0.0134
86000US11385,11385,0.4399,0.0112
86000US11411,11411,0.3726,0.0138
86000US11412,11412,0.3897,0.0132
86000US11413,11413,0.3748,0.0136
86000US11414,11414,0.451,0.0301
86000US11415,11415,0.4315,0.0213
86000US11416,11416,0.4263,0.0181
86000US11417,11417,0.4327,0.0208
86000US11418,11418,0.4101,0.0156
86000US11419,11419,0.4358,0.0153
86000US11420,11420,0.4413,0.0285
86000US11421,11421,0.4392,0.0186
86000US11422,11422,0.3638,0.0158
86000US11423,11423,0.4345,0.0201
86000US11424,11424,0,0
86000US11425,11425,0,0
86000US11426,11426,0.3947,0.0336
86000US11427,11427,0.4236,0.0203
86000US11428,11428,0.3846,0.0202
86000US11429,11429,0.4106,0.0212
86000US11430,11430,0,0
86000US11432,11432,0.4643,0.0172
86000US11433,11433,0.4733,0.0281
86000US11434,11434,0.3943,0.0121
86000US11435,11435,0.4299,0.0159
86000US11436,11436,0.4028,0.0275
86000US11451,11451,0,0
86000US11509,11509,0.4936,0.047
86000US11559,11559,0.5394,0.0541
86000US11580,11580,0.3869,0.0213
86000US11581,11581,0.4031,0.022
86000US11691,11691,0.4825,0.0165
86000US11692,11692,0.4668,0.0326
86000US11693,11693,0.4462,0.0317
86000US11694,11694,0.4662,0.0285
86000US11697,11697,0.3946,0.0311
